Antoinette Hotel Wimbledon,London,"249-263 The Broadway, London",4.1,535.0,hotels,,,,,,,,,,,,,,,,,,,
The Wimbledon Hotel,London,"78 Worple Road, London",2.8,102.0,hotels,,,,,,,,,,,,,,,,,,,
Hotel du Vin Wimbledon,London,"Cannizaro House, West Side Common, London",4.0,927.0,hotels,,,,,,,,,,,,,,,,,,,
The Fox & Grapes Wimbledon,London,"9 Camp Road, London",4.2,693.0,hotels,,,,,,,,,,,,,,,,,,,
Dog & Fox (Hotel),London,"24 High Street Wimbledon, London",4.2,1630.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Wimbledon South hotel,London,"27 Chapter Way, London",4.0,1337.0,hotels,,,,,,,,,,,,,,,,,,,
"Holiday Inn Express London - Wimbledon South, an IHG Hotel",London,"200 High Street Colliers Wood, London",3.9,953.0,hotels,,,,,,,,,,,,,,,,,,,
Rose & Crown (Hotel),London,"55 High Street Wimbledon, London",4.3,1064.0,hotels,,,,,,,,,,,,,,,,,,,
Justin James Hotel,London,"43 Worple Road, London",4.0,88.0,hotels,,,,,,,,,,,,,,,,,,,
Cosy Retreat - The Green Morden,London,"73 The Green, Morden",5.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
WIMBLEDON BED AND BREAKFAST,London,"131 Queen's Road, London",4.8,56.0,hotels,,,,,,,,,,,,,,,,,,,
Worcester House Hotel,London,"38 Alwyne Road, London",4.0,2.0,hotels,,,,,,,,,,,,,,,,,,,
Blue Stone Hotels,London,"203 Blackshaw Road, London",4.5,4.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Wimbledon Morden,London,"A24 Epsom Road, Morden",3.7,546.0,hotels,,,,,,,,,,,,,,,,,,,
Gravesend Apartments,London,"The Apartment Service, Francis Grove, London",3.7,12.0,hotels,,,,,,,,,,,,,,,,,,,
The Apartment Service,London,"5-6 Francis Grove, London",4.9,9.0,hotels,,,,,,,,,,,,,,,,,,,
Roomspace Serviced Apartments - Cascades Court,London,"Hartfield Crescent, SW19 3RL",3.6,8.0,hotels,,,,,,,,,,,,,,,,,,,
A Place in Rome,London,"25 Bronson Road, West Wimbledon, London",5.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Raynes Park,London,"Durham House, Amity Grove, London",3.9,590.0,hotels,,,,,,,,,,,,,,,,,,,
38 Chapman Square Apartment - Wimbledon,London,"68 Chapman Square, London",5.0,4.0,hotels,,,,,,,,,,,,,,,,,,,
Wimbledon Homes Bed & Breakfast,London,"21 Farquhar Road, London",3.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
East Stuff Ltd,London,"Wimbledon Stadium Business Centre, Studio 1, Stadium Studios, Unit 32 Riverside Road, London",4.3,6.0,hotels,,,,,,,,,,,,,,,,,,,
Pelican London Hotel & Residence,London,"203 Blackshaw Road, London",3.9,693.0,hotels,,,,,,,,,,,,,,,,,,,
Marple Cottage Guest House,London,"113 Woodside, London",4.7,74.0,hotels,,,,,,,,,,,,,,,,,,,
Compton Guest House,London,"65 Compton Road, London",3.8,10.0,hotels,,,,,,,,,,,,,,,,,,,
Goodenough Guesthouse Hotel,London,"4 Goodenough Road, London",4.7,27.0,hotels,,,,,,,,,,,,,,,,,,,
Ridgmount Apartments,London,"De Veer House, 7-9 Darlaston Road, London",5.0,3.0,hotels,,,,,,,,,,,,,,,,,,,
Queens Lodge,London,"34 Ethelbert Road, London",4.0,13.0,hotels,,,,,,,,,,,,,,,,,,,
Travelodge London Wimbledon Central,London,"27 Hartfield Road, London",4.3,303.0,hotels,,,,,,,,,,,,,,,,,,,
Wimbledon Holiday Lets,London,"69 Woodside, London",4.3,29.0,hotels,,,,,,,,,,,,,,,,,,,
Collingham House,London,"Wibbas Down Inn, 12 Gladstone Road, London",5.0,1.0,hotels,,,,,,,,,,,,,,,,,,,
Premier Inn London Wimbledon (Broadway) hotel,London,"153 163 The Broadway, London",4.4,669.0,hotels,,,,,,,,,,,,,,,,,,,
